"user","timestamp","x","y","z","distancefromobject"
"Senthil.Anderson@test.com","1655563945989","1.0","-1.0","-1.0","246"
"Senthil.Anderson@test.com","1655563945989","-1.0","0.0","-1.0","246"
"Senthil.Anderson@test.com","1655563945989","1.0","-1.0","0.0","246"
"Jerry.Khatib@test.com","1655563946007","0.0","0.0","0.0","250"
"Jerry.Khatib@test.com","1655563946007","1.0","-1.0","-1.0","250"
"Jerry.Khatib@test.com","1655563946007","1.0","1.0","-1.0","250"
"Senthil.Anderson@test.com","1655563949822","0.0","1.0","-1.0","226"
"Senthil.Anderson@test.com","1655563949822","0.0","-1.0","-1.0","226"
"Senthil.Anderson@test.com","1655563949822","-1.0","1.0","-1.0","226"
"Ashley.Anandh@test.com","1655563953177","-1.0","-1.0","-1.0","267"
"Ashley.Anandh@test.com","1655563953177","0.0","0.0","-1.0","267"
"Ashley.Anandh@test.com","1655563953177","1.0","0.0","0.0","267"
"Trevor.Phillips@test.com","1655563969733","1.0","0.0","0.0","270"
"Trevor.Phillips@test.com","1655563969733","-1.0","1.0","0.0","270"
"Trevor.Phillips@test.com","1655563969733","-1.0","0.0","-1.0","270"
"Neeraj.Phillips@test.com","1655563969873","0.0","1.0","-1.0","235"
"Neeraj.Phillips@test.com","1655563969873","0.0","0.0","0.0","235"
"Neeraj.Phillips@test.com","1655563969873","-1.0","0.0","-1.0","235"
"Angie.Smith@test.com","1655563975583","0.0","-1.0","-1.0","240"
"Angie.Smith@test.com","1655563975583","0.0","0.0","0.0","240"
"Craig.Sanchez@test.com","1655563978331","-1.0","-1.0","0.0","275"
"Craig.Sanchez@test.com","1655563978331","-1.0","0.0","0.0","275"
"Craig.Sanchez@test.com","1655563978331","0.0","1.0","0.0","275"
"Senthil.Staples@test.com","1655563980226","-1.0","1.0","0.0","253"
"Senthil.Staples@test.com","1655563980226","1.0","0.0","-1.0","253"
"Senthil.Staples@test.com","1655563980226","1.0","-1.0","0.0","253"
"Santosh.Doshi@test.com","1655563985566","-1.0","0.0","-1.0","238"
"Santosh.Doshi@test.com","1655563985566","1.0","-1.0","0.0","238"
"Santosh.Doshi@test.com","1655563985566","0.0","0.0","0.0","238"
"Angie.Smith@test.com","1655563987082","0.0","1.0","0.0","243"
"Angie.Smith@test.com","1655563987082","1.0","-1.0","-1.0","243"
"John.Abram@test.com","1655563989530","-1.0","-1.0","-1.0","261"
"John.Abram@test.com","1655563989530","0.0","-1.0","0.0","261"
"John.Abram@test.com","1655563989530","-1.0","0.0","0.0","261"
"Edward.Huey@test.com","1655563994154","0.0","0.0","0.0","240"
"Edward.Huey@test.com","1655563994154","0.0","-1.0","-1.0","240"
"Neeraj.Fibonnaci@test.com","1655563995866","0.0","0.0","0.0","226"
"Neeraj.Fibonnaci@test.com","1655563995866","-1.0","1.0","-1.0","226"
"Neeraj.Fibonnaci@test.com","1655563995866","-1.0","1.0","0.0","226"
"Neeraj.Phillips@test.com","1655563999773","1.0","1.0","0.0","286"
"Neeraj.Phillips@test.com","1655563999773","1.0","-1.0","-1.0","286"
"Neeraj.Phillips@test.com","1655563999773","0.0","0.0","-1.0","286"
"Jason.Huey@test.com","1655563999837","1.0","0.0","0.0","263"
"Jason.Huey@test.com","1655563999837","-1.0","-1.0","-1.0","263"
"Jason.Huey@test.com","1655563999837","-1.0","0.0","0.0","263"
"Santosh.Phillips@test.com","1655564000884","1.0","0.0","-1.0","282"
"Santosh.Phillips@test.com","1655564000884","-1.0","-1.0","-1.0","282"
"Dan.Staples@test.com","1655564008333","1.0","1.0","-1.0","249"
"Dan.Staples@test.com","1655564008333","1.0","0.0","-1.0","249"
"Dan.Staples@test.com","1655564008333","0.0","0.0","-1.0","249"
"Craig.Sanchez@test.com","1655564014255","-1.0","1.0","0.0","289"
"Craig.Sanchez@test.com","1655564014255","-1.0","0.0","0.0","289"
"Craig.Sanchez@test.com","1655564014255","1.0","0.0","0.0","289"
"Dan.Anandh@test.com","1655564014800","0.0","-1.0","-1.0","201"
"Dan.Anandh@test.com","1655564014800","1.0","1.0","0.0","201"
"Manoj.Ahmed@test.com","1655564015956","0.0","1.0","0.0","207"
"Manoj.Ahmed@test.com","1655564015956","0.0","1.0","-1.0","207"
"Manoj.Ahmed@test.com","1655564015956","1.0","1.0","0.0","207"
"Jacob.Mitra@test.com","1655564016904","0.0","0.0","0.0","248"
"Jacob.Mitra@test.com","1655564016904","1.0","-1.0","-1.0","248"
"Jacob.Mitra@test.com","1655564016904","-1.0","1.0","0.0","248"
"Manoj.Khatib@test.com","1655564019077","0.0","1.0","0.0","204"
"Manoj.Khatib@test.com","1655564019077","-1.0","1.0","-1.0","204"
"Manoj.Khatib@test.com","1655564019077","0.0","-1.0","-1.0","204"
"Chris.Mitra@test.com","1655564019850","-1.0","0.0","-1.0","263"
"Chris.Mitra@test.com","1655564019850","-1.0","1.0","0.0","263"
"Chris.Mitra@test.com","1655564019850","-1.0","0.0","0.0","263"
"Jason.Huey@test.com","1655564022765","-1.0","0.0","-1.0","293"
"Jason.Huey@test.com","1655564022765","-1.0","0.0","0.0","293"
"Jason.Huey@test.com","1655564022765","0.0","0.0","-1.0","293"
"Chris.Mitra@test.com","1655564026116","0.0","-1.0","-1.0","256"
"Chris.Mitra@test.com","1655564026116","0.0","-1.0","0.0","256"
"Chris.Mitra@test.com","1655564026116","1.0","-1.0","0.0","256"
"Manoj.Khatib@test.com","1655564033609","0.0","0.0","-1.0","225"
"Manoj.Khatib@test.com","1655564033609","-1.0","1.0","-1.0","225"
"Manoj.Khatib@test.com","1655564033609","-1.0","0.0","0.0","225"
"Chris.Davis@test.com","1655564041954","1.0","1.0","0.0","291"
"Chris.Davis@test.com","1655564041954","-1.0","-1.0","-1.0","291"
"Chris.Davis@test.com","1655564041954","-1.0","0.0","-1.0","291"
"Ben.Olson@test.com","1655564110298","1.0","0.0","0.0","284"
